"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@AJ_Indiana Cheers! #BidenHarris2020 https://t.co/XFAOa7Zmz5",FALSE,1,"AJ_Indiana",2020-11-07 23:59:59,FALSE,"1325224496643633153","1325226522081431557","15821103","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","thetreezz",0,FALSE,FALSE,NA,NA
"2","We are taking in the fresh air (but with mask back on) and listening to the cheers for democracy in person.¡­ https://t.co/47zaXfAAzq",FALSE,1,NA,2020-11-07 23:59:58,TRUE,NA,"1325226520521158656",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","viv_chin",0,FALSE,FALSE,NA,NA
"3","As an immigrant I can¡¯t tell you how big the sigh of relief I let out today was. 

4 years ago I cried and had pani¡­ https://t.co/Dbu5fgq6e0",FALSE,21,NA,2020-11-07 23:59:58,TRUE,NA,"1325226519967526912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YourLifeAfter25",1,FALSE,FALSE,NA,NA
"4","CONGRATULATIONS @JoeBiden ON WINNING!! I AM SO PROUD THAT YOU WON!! THESE NEXT 4 YEARS ARE GONNA BE GREAT YEARS!¡­ https://t.co/p4iXvtUjls",FALSE,4,NA,2020-11-07 23:59:57,TRUE,NA,"1325226517404639233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sausscery",0,FALSE,FALSE,NA,NA
"5","I am so excited to make our flag, the AMERICAN flag, EVERYONE¡¯s flag again! And here¡¯s to bubbles and popcorn!¡­ https://t.co/IDRsEpm8Oj",FALSE,0,NA,2020-11-07 23:59:57,TRUE,NA,"1325226516708528130",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Aimahla",0,FALSE,FALSE,"-80.5","39"
"6","Lmao ¡°fuck off¡± #ByeByeTrump  #BidenHarris2020  #Election2020 https://t.co/z8wt7McS3m",FALSE,0,NA,2020-11-07 23:59:57,FALSE,NA,"1325226515504705538",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JUANDAVID15",0,FALSE,FALSE,NA,NA
"7","Let them know.. Hello @JoeBiden @KamalaHarris... . <U+0001F1EE><U+0001F1EA> is with you...Comhghairdeas agus luas Dia..¡­ https://t.co/OaGIOw20Yv",FALSE,91,NA,2020-11-07 23:59:57,TRUE,NA,"1325226514724564992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","k_zappone",8,FALSE,FALSE,NA,NA
"8","It¡¯s 4 o¡¯clock and that means it¡¯s time for a #BidenHarris2020 celebratory drink. Love me a good gin and tonic and¡­ https://t.co/9M5tP9pjwL",FALSE,2,NA,2020-11-07 23:59:55,TRUE,NA,"1325226509141860352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AustinNeaves",0,FALSE,FALSE,NA,NA
"9","Ain't no party like a democratic party, cuz a democratic party don't stop! #BidenHarris2020  <U+0001F389><U+0001F1FA><U+0001F1F2><U+0001F389> https://t.co/yVhpOqciVw",FALSE,2,NA,2020-11-07 23:59:54,FALSE,NA,"1325226504339517441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","twixiepixie411",0,FALSE,FALSE,NA,NA
"10","@TheRealHoarse @BreitbartNews And @JoeBiden got a few million more <U+0001F602> and WON. #BidenHarris2020",FALSE,11,"TheRealHoarse",2020-11-07 23:59:53,FALSE,"1325220256206483456","1325226500505825280","784575415457308672","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JDangle1",0,FALSE,FALSE,NA,NA
