"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@RealJamesWoods @AnthemRespect This is an Election of MEDIA PROPAGANDA &amp; the storyline is 
HATE TRUMP, NO REASON RE¡­ https://t.co/6wDVrstrDl",FALSE,1,"RealJamesWoods",2020-09-27 23:59:09,TRUE,"1310072221390368775","1310368411625705472","78523300","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Phillygp17G",1,FALSE,FALSE,NA,NA
"2","@TheJuanWilliams FYI a majority of we do NOT agree that the US Senate should wait until after the election to confi¡­ https://t.co/p9PsKGUXXt",FALSE,0,"TheJuanWilliams",2020-09-27 23:56:29,TRUE,NA,"1310367742323650563","228747444","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KHolmes2003",0,FALSE,FALSE,NA,NA
"3","@church143 #TrumpPence2020 with a congress that puts America First #VoteRed2020acrosstheboard #FILLTHATSEATNOW",FALSE,0,"church143",2020-09-27 23:49:09,FALSE,"1310353700171509760","1310365895252942848","4822368459","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarkMetts3",0,FALSE,FALSE,NA,NA
"4","@JoeBiden Ignorance is bliss.

#WalkAwayFromDemocrats

#TrumpPence2020",FALSE,0,"JoeBiden",2020-09-27 23:48:42,FALSE,"1310236503998595073","1310365782950510594","939091","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JHStY",0,FALSE,FALSE,NA,NA
"5","@JoeBiden Yes those Stuplid Bastards, just to quote you Sir. See how this works! <U+0001F47F>
#TrumpPence2020 <U+0001F1FA><U+0001F1F8><U+2764><U+FE0F><U+0001F1FA><U+0001F1F8>
Your Sile¡­ https://t.co/i6kFeBYxwj",FALSE,1,"JoeBiden",2020-09-27 23:47:32,TRUE,"1310354783518314497","1310365489311481856","939091","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Rose04531982",0,FALSE,FALSE,NA,NA
"6","@Liz_Estes After all I've been through with #TDS #Trump #HATERS, I'd wear it!

#WalkAwayFromDemocrats

#TrumpPence2020",FALSE,0,"Liz_Estes",2020-09-27 23:47:13,FALSE,"1310347561329360897","1310365406666911744","27069877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JHStY",0,FALSE,FALSE,NA,NA
"7","@JoeBiden @PPFA ...and in #America itself.
#DrainTheSwamp!
#Trump2020! #KAG2020 #MAGA2020 #TrumpPence2020 #ProLife¡­ https://t.co/CpoqL7F9VQ",FALSE,0,"Marcelo77931223",2020-09-27 23:46:52,TRUE,"1310364092918530049","1310365318708162561","802174499840004096","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Marcelo77931223",0,FALSE,FALSE,NA,NA
"8","So... you can just roll onto the White House not having proven anything.<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602> no bs, if he doesn¡¯t get arrested I¡¯m¡­ https://t.co/9RtCwxRWfp",FALSE,0,NA,2020-09-27 23:46:32,TRUE,NA,"1310365238475321346",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SEBMarketBK",0,FALSE,FALSE,NA,NA
"9","@JoeBiden Not winning! It¡¯s America! Our President, your President also, is well within his constitutional duties.¡­ https://t.co/hDFxnNXV9E",FALSE,0,"JoeBiden",2020-09-27 23:43:56,TRUE,"1310003720164384782","1310364581974417410","939091","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Rose04531982",0,FALSE,FALSE,NA,NA
"10","Let's go #TrumpPence2020 <U+0001F1FA><U+0001F1F8><U+0001F447><U+0001F447><U+0001F44D><U+0001F44D> https://t.co/sSkJzV2luv",FALSE,1,NA,2020-09-27 23:43:51,FALSE,NA,"1310364563313799168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","May461014344",1,FALSE,FALSE,NA,NA
"11","@sbg1 This election is not about @realDonaldTrump taxes, but about #US. #China wants to destroy us, take all our jo¡­ https://t.co/GsCWPrWQEr",FALSE,3,"sbg1",2020-09-27 23:42:17,TRUE,"1310329824821436416","1310364166457364480","31037199","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","janr140802",1,FALSE,FALSE,NA,NA
"12","Be there are at @realDonaldTrump  rally Mark it on your Calendar Red November 3, Vote for #TrumpPence2020 <U+0001F1FA><U+0001F1F8><U+270D>the Wi¡­ https://t.co/In5nTXxWvj",FALSE,0,NA,2020-09-27 23:42:12,TRUE,NA,"1310364146525827072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","May461014344",0,FALSE,FALSE,NA,NA
"13","Let's trend these hashtags #BidenFriendOfChina #BidenUkranianGas #BidenWillRuinAmerica #BidenAtoyOfHillary¡­ https://t.co/DbYkdl8zIj",FALSE,0,NA,2020-09-27 23:42:12,TRUE,NA,"1310364144839929857",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","farb007",0,FALSE,FALSE,NA,NA
"14","@angelzplay Hang in there Angie. For whatever reason you're going through whatever you're going through, #God trust¡­ https://t.co/lrs7y22lmx",FALSE,1,"angelzplay",2020-09-27 23:41:49,TRUE,"1310352633383792640","1310364049666867200","56481120","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JHStY",0,FALSE,FALSE,NA,NA
"15","@BuCap004 @jat1020 Never thought we would see this in our lifetime....on Rodeo Drive, in Beverly Hills, in LA. <U+0001F44D> #TrumpPence2020",FALSE,3,"BuCap004",2020-09-27 23:39:19,FALSE,"1310085151465115648","1310363420772966402","1228159398771511296","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MMMDigits",3,FALSE,FALSE,NA,NA
"16","@EricTrump If Trump got one dollar from Russia, Democraps would launch impeachment proceedings again.

#TrumpPence2020",FALSE,0,"EricTrump",2020-09-27 23:38:25,FALSE,"1310361285780004864","1310363193580032001","39349894","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KonservativeF",0,FALSE,FALSE,NA,NA
"17","@angelzplay If you haven't tried what #God says about #Jesus, that is the one thing that lasts through eternity.¡­ https://t.co/BP4qEvZLIB",FALSE,1,"angelzplay",2020-09-27 23:32:37,TRUE,"1310352633383792640","1310361734465683457","56481120","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JHStY",0,FALSE,FALSE,NA,NA
"18","@JoeBiden Wrong sir. The senate should vote because it is the business at hand for #WeThePeople.

#WalkAwayFromDemocrats

#TrumpPence2020",FALSE,2,"JoeBiden",2020-09-27 23:29:56,FALSE,"1309991139584270336","1310361059392401408","939091","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JHStY",0,FALSE,FALSE,NA,NA
"19","I find it interesting that  you see Parades of #Trump supporters  walking, cars, trucks, boats all peaceful law abi¡­ https://t.co/eCaGFCKTAk",FALSE,0,NA,2020-09-27 23:28:44,TRUE,NA,"1310360757888933891",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PageGeri2",0,FALSE,FALSE,NA,NA
"20","@realDonaldTrump Ok, this has to be the funniest presidential race ever in the history of the world. <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>¡­ https://t.co/dkt8Cs6Goe",FALSE,0,"realDonaldTrump",2020-09-27 23:28:20,TRUE,"1310319725747073026","1310360658009939971","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KonservativeF",0,FALSE,FALSE,NA,NA
"21","@AndrewPollackFL @realDonaldTrump Hmm... Seems #POTUS has done more for #America in his 3 plus years vs #HidenBiden¡­ https://t.co/LIfEQcn7Sr",FALSE,0,"AndrewPollackFL",2020-09-27 23:20:30,TRUE,"1310273658255011840","1310358686389370881","983766825610694656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LittleFish17",0,FALSE,FALSE,NA,NA
"22","@SpeakerPelosi Affordable care act is worthless the only thing it did was raise our premiums. #Impeachpelosi #TrumpPence2020",FALSE,0,"SpeakerPelosi",2020-09-27 23:18:17,FALSE,"1310257271625089025","1310358125350916098","15764644","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wilkersonkeith0",0,FALSE,FALSE,NA,NA
"23","@JoeBiden @TheRock Just another celebrity trying to tell us how to vote. I don't need a celebrity telling me how to¡­ https://t.co/lqL6Lg0Ydf",FALSE,0,"JoeBiden",2020-09-27 23:12:31,TRUE,"1310198997202632711","1310356674675240962","939091","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rancherswife10",0,FALSE,FALSE,NA,NA
