"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@DNC needs to grow the f*k up, what a bunch of DRAMA queen LOSERS! 
@GOP RINO's MUST GO! 
#AmyConeyBarrettSCOTUS¡­ https://t.co/alIyPBSgt9",FALSE,0,"DNC",2020-10-26 23:59:16,TRUE,NA,"1320877689830436865","722793491059769344","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luvmytude",0,FALSE,FALSE,NA,NA
"2","@Teri_Kanefield Haha! When #BiasedMedia is RUDE, you walk away! That¡¯s exactly what we want our President to do!¡­ https://t.co/lOxNdhiCSW",FALSE,0,"Teri_Kanefield",2020-10-26 23:58:06,TRUE,"1320521378286587904","1320877393813348352","429531188","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ErinMH90",0,FALSE,FALSE,NA,NA
"3","Justice Amy Coney Barrett, congratulations. Good job @senatemajldr @LindseyGrahamSC and excellent nomination¡­ https://t.co/WvdML6mqmT",FALSE,1,NA,2020-10-26 23:57:54,TRUE,NA,"1320877347281768449",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KristyDeer",1,FALSE,FALSE,NA,NA
"4","@DWUhlfelderLaw When #BiasedMedia is RUDE, you walk away! That¡¯s exactly what we want our President to do!¡­ https://t.co/xiRKgEQfzN",FALSE,0,"DWUhlfelderLaw",2020-10-26 23:57:46,TRUE,"1320526028117319681","1320877311244337152","1011970623470489601","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ErinMH90",0,FALSE,FALSE,NA,NA
"5","@ddale8 When #BiasedMedia is RUDE, you walk away! That¡¯s exactly what we want our President to do!¡­ https://t.co/EHaYxq5Oal",FALSE,0,"ddale8",2020-10-26 23:57:35,TRUE,"1320756687712694272","1320877264985350146","225265639","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ErinMH90",0,FALSE,FALSE,NA,NA
"6","@HyersBill Me too!
Gonna use them to wipe my ass.
#TrumpPence2020",FALSE,0,"HyersBill",2020-10-26 23:57:34,FALSE,"1320858812111355910","1320877260958781441","1864073148","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RawDoggingTank",0,FALSE,FALSE,NA,NA
"7","@NRO Or, Joe Biden¡¯s Energy Policy Would Save Humanity. Everybody loves a renaissance but we've learned a lot since¡­ https://t.co/kM0mUvrwSZ",FALSE,1,"NRO",2020-10-26 23:57:30,TRUE,"1320865297490976773","1320877244600983555","19417492","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BornFree411",0,FALSE,FALSE,NA,NA
"8","@politvidchannel When #BiasedMedia is RUDE, you walk away! That¡¯s exactly what we want our President to do!¡­ https://t.co/e40tWKhYe1",FALSE,0,"politvidchannel",2020-10-26 23:56:51,TRUE,"1320717067037728769","1320877079966175234","4878610324","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ErinMH90",0,FALSE,FALSE,NA,NA
"9","@60Minutes She was terrible! When #BiasedMedia is RUDE, you walk away! That¡¯s exactly what we want our President to¡­ https://t.co/jpntjVoXdB",FALSE,0,"60Minutes",2020-10-26 23:56:43,TRUE,"1320512028390363137","1320877046994751495","18812572","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ErinMH90",0,FALSE,FALSE,NA,NA
"10","@60Minutes When #BiasedMedia is RUDE, you walk away! That¡¯s exactly what we want our President to do!¡­ https://t.co/Y2usCeSGsH",FALSE,0,"60Minutes",2020-10-26 23:56:20,TRUE,"1320513123011485700","1320876948982272000","18812572","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ErinMH90",0,FALSE,FALSE,NA,NA
"11","@lifetothemax1 When #BiasedMedia is RUDE, you walk away! That¡¯s exactly what we want our President to do!¡­ https://t.co/Y6Y9pQBgcA",FALSE,0,"lifetothemax1",2020-10-26 23:56:08,TRUE,"1320676557392875520","1320876901922123776","581043583","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ErinMH90",0,FALSE,FALSE,NA,NA
"12","@thehill When #BiasedMedia is RUDE, you walk away! That¡¯s exactly what we want our President to do!¡­ https://t.co/gIxCFMaaeN",FALSE,0,"thehill",2020-10-26 23:55:59,TRUE,"1320206196922585088","1320876864630595585","1917731","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ErinMH90",0,FALSE,FALSE,NA,NA
"13","Watching Trump Card right now. Movie revelations are disturbing yet not entirely surprising. Also makes me glad I'v¡­ https://t.co/xGqjZuDxec",FALSE,0,NA,2020-10-26 23:55:21,TRUE,NA,"1320876703669985280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LynnWood002",0,FALSE,FALSE,NA,NA
