"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@waltshaub I am voting early &amp; in person! #ohio #BidenHarris2020",FALSE,0,"waltshaub",2020-09-20 23:59:55,FALSE,"1307823018064908289","1307831890167181318","830908366377611266","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cinny_bot",0,FALSE,FALSE,NA,NA
"2","Angry about trump trying to steal the Supreme Court? Good, turn it into action and join the #coloradodems as we¡­ https://t.co/cHZ95Bk2fC",FALSE,0,NA,2020-09-20 23:59:54,TRUE,NA,"1307831884173291520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HeathDL42",0,FALSE,FALSE,NA,NA
"3","@thehill We don't care! #BidenHarris2020",FALSE,0,"thehill",2020-09-20 23:59:52,FALSE,"1307825128991055873","1307831877500383233","1917731","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TressInfo",0,FALSE,FALSE,NA,NA
"4","The GOP has a terrific plan for an October Surprise!!
Be sure to check it out ¨C this will Happen!  Find out 
The Fa¡­ https://t.co/XcGrjv8fn5",FALSE,0,NA,2020-09-20 23:59:52,TRUE,NA,"1307831875612803072",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BigdogFnh",0,FALSE,FALSE,NA,NA
"5","@Jillbiden46 @JoeBiden I'm voting early! #BidenHarris2020",FALSE,0,"Jillbiden46",2020-09-20 23:59:50,FALSE,"1307789399611060224","1307831869174681602","1249416438051246080","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Henrycctx",0,FALSE,FALSE,NA,NA
"6","How much money is @MikeBloomberg giving to help stop Mitch and Lindsey? Where is the money Mike?!?¡­ https://t.co/799WgukFDZ",FALSE,0,NA,2020-09-20 23:59:50,TRUE,NA,"1307831867920412672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaskiewiczc",0,FALSE,FALSE,NA,NA
"7","#Vote for your lives. #BidenHarris2020 https://t.co/O5LOWtF8uE",FALSE,0,NA,2020-09-20 23:59:41,FALSE,NA,"1307831829794152448",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JoFindsOm",0,FALSE,FALSE,NA,NA
"8","@LindseyGrahamSC Reap what you sow...you just do not believe in irony do you?? #VoteLindseyOut #VoteBlueToSaveAmerica #BidenHarris2020",FALSE,1,"LindseyGrahamSC",2020-09-20 23:59:39,FALSE,"1307807076358422531","1307831821988696065","432895323","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Klibra1018",0,FALSE,FALSE,NA,NA
"9","""You can't have this guy as your president,"" Trump argued. ""You can't have ¡ª maybe I'll sign an executive order, yo¡­ https://t.co/yAfghFwzeh",FALSE,0,NA,2020-09-20 23:59:36,TRUE,NA,"1307831809569255425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WibblyL",0,FALSE,FALSE,NA,NA
"10","@davidaxelrod @SenSchumer @AOC If you want the senate to delay a new Supreme Court nomination until after the elect¡­ https://t.co/SkfWNezory",FALSE,0,"davidaxelrod",2020-09-20 23:59:23,TRUE,"1307824553855385600","1307831754598776832","244655353","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TXDemMarine",0,FALSE,FALSE,NA,NA
"11","This is REALLY a Supreme Court Shocker!
Do NOT Miss this announcement!
Get the Facts Behind the Fiction!!¡­ https://t.co/YqqfRSRT1C",FALSE,0,NA,2020-09-20 23:59:21,TRUE,NA,"1307831748818997248",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BigdogFnh",0,FALSE,FALSE,NA,NA
"12","@ResisterSis20 Done! #BidenHarris2020",FALSE,0,"ResisterSis20",2020-09-20 23:59:17,FALSE,"1307787581686505480","1307831730997321728","328756439","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnowdenBishop",0,FALSE,FALSE,NA,NA
"13","Yes!!!! Please God, please #BidenHarris2020 https://t.co/dBqfOt8aFt",FALSE,1,NA,2020-09-20 23:59:16,FALSE,NA,"1307831725762973697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ARMartosh",0,FALSE,FALSE,NA,NA
"14","#RBGRevolution 
Has 45 shown respect yet or is he doing another John McCain?

#VoteBlueToSaveAmerica¡­ https://t.co/q0akFxtjp1",FALSE,0,NA,2020-09-20 23:59:14,TRUE,NA,"1307831719748407296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MsWoofs",0,FALSE,FALSE,NA,NA
"15","@ThisWeekABC While whole heartedly supporting #BidenHarris2020<U+0001F1FA><U+0001F1F8>
WE must be as dedicated &amp; determined to flip at mi¡­ https://t.co/0hg38QpF7D",FALSE,1,"ThisWeekABC",2020-09-20 23:59:13,TRUE,"1307825893860167680","1307831711942746113","450941680","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CJDeR53",0,FALSE,FALSE,NA,NA
"16","@JoeBiden And we will with steadfast foresight, courage, unity, and trust in the belief that rational minds, logica¡­ https://t.co/Kp9fmcjXYL",FALSE,0,"JoeBiden",2020-09-20 23:59:04,TRUE,"1307456938716749825","1307831674902896641","939091","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","musclesNmorsels",0,FALSE,FALSE,NA,NA
"17","@kylegriffin1 Nope, just fuc_ing VOTE!!!!!!! Calls are inconsequential at this point! Donate, volunteer &amp; for cryin¡­ https://t.co/z1Dv1KvvLv",FALSE,0,"kylegriffin1",2020-09-20 23:59:03,TRUE,"1307826884340838401","1307831672319115264","32871086","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pedi_suzanne",0,FALSE,FALSE,NA,NA
"18","@DonaldJTrumpJr I will be showing up, in person, and voting #BidenHarris2020",FALSE,0,"DonaldJTrumpJr",2020-09-20 23:58:56,FALSE,"1307825950105595904","1307831642891923456","39344374","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","resistance_army",0,FALSE,FALSE,NA,NA
"19","Me too. Trump has to pay a woman to be by his side, the fukn perv. #BidenHarris2020,#SaveAmericanDemocracy,¡­ https://t.co/ldXB4pctDl",FALSE,0,NA,2020-09-20 23:58:53,TRUE,NA,"1307831628761243648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Michael58021312",0,FALSE,FALSE,NA,NA
"20","@AOC I am too! 
#SuburbanWomenForKamala 
#45YoureFired 
#WomenCanChangeTheWorld
#BidenHarris2020",FALSE,0,"AOC",2020-09-20 23:58:47,FALSE,"1307759305249226752","1307831602475655169","138203134","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mommyperk",0,FALSE,FALSE,NA,NA
"21","This is how you tweet!!!! Go get ¡®em Mr. Vice President. Let¡¯s do this. #bidenharris2020 https://t.co/BylvBzV76H",FALSE,0,NA,2020-09-20 23:58:29,FALSE,NA,"1307831529658134529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LainieJosephson",0,FALSE,FALSE,NA,NA
"22","It¡¯s hard to avoid #doomscrolling when every app is just filled with all the absolutely insane and racist things th¡­ https://t.co/eM7NXEJvVh",FALSE,1,NA,2020-09-20 23:58:17,TRUE,NA,"1307831476621246464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DavidJCrewe",0,FALSE,FALSE,NA,NA
"23","@esglaude Just make sure you do the right thing this time and I'll be able to watch you again on @MSNBC and enjoy y¡­ https://t.co/RDDgp9O7zx",FALSE,0,"esglaude",2020-09-20 23:58:13,TRUE,"1307415114879045632","1307831463203811335","180535644","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeborahCompass",0,FALSE,FALSE,NA,NA
"24","The Republicans aren't going to hold both GAs, NC, IA, &amp; MT. Not gonna happen.  #FlipTheSenate #BidenHarris2020 https://t.co/yEtb1bwU5q",FALSE,1,NA,2020-09-20 23:58:11,FALSE,NA,"1307831454097960964",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sooriclover",0,FALSE,FALSE,NA,NA
"25","@AOC Early and on person in Texas. #BidenHarris2020",FALSE,0,"AOC",2020-09-20 23:58:08,FALSE,"1307759305249226752","1307831442773291008","138203134","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bryaninthe512",0,FALSE,FALSE,NA,NA
"26","Via .@CREWcrew 
""Donald Trump Jr.¡¯s #trophyhunting trip to Mongolia in late August, 2019 cost taxpayers more than $¡­ https://t.co/JBFKQy90Wf",FALSE,1,"greennomad61",2020-09-20 23:58:04,TRUE,"1307819689364652032","1307831424326737920","2651368746","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","greennomad61",1,FALSE,FALSE,NA,NA
"27","@donwinslow @TomPerez @Yahoo I don¡¯t care if my precinct is full of Trump followers trying to intimidate me. I¡¯ll b¡­ https://t.co/Hpyr4s3zPF",FALSE,6,"donwinslow",2020-09-20 23:58:04,TRUE,"1307830317902827520","1307831422514798593","255812611","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","malib1279",2,FALSE,FALSE,NA,NA
"28","@realDonaldTrump We will when you are gone!!! #BidenHarris2020",FALSE,0,"realDonaldTrump",2020-09-20 23:57:51,FALSE,"1307675370322145282","1307831370937298944","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drummindj_j",0,FALSE,FALSE,NA,NA
"29","I¡¯m voting on the first day of early voting which is Oct 5 in person
#BidenHarris2020",FALSE,2,NA,2020-09-20 23:57:47,FALSE,NA,"1307831354805989383",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CharlieWageman",0,FALSE,FALSE,NA,NA
"30","@realDonaldTrump You are a #Lying, #Liar. #Loser #YoureFired #TrumpFailedAmerica #BidenHarris2020",FALSE,0,"realDonaldTrump",2020-09-20 23:57:38,FALSE,"1307693536322752513","1307831313886576640","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lindaresists",0,FALSE,FALSE,NA,NA
"31","@Redistrict @NBCNews Sorry Puerto Rico, there goes your 13 billion but good news is the next guy is gonna do so muc¡­ https://t.co/83nZ8qTS2K",FALSE,0,"Redistrict",2020-09-20 23:57:18,TRUE,"1307820879590633473","1307831229451034630","74820061","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cgormley9",0,FALSE,FALSE,NA,NA
"32","@TeamTrump @JasonMillerinDC Trump Boosts Economy by Hawking Donor's Products

#BidenHarris2020

https://t.co/5gWW0vgn4M",FALSE,0,"TeamTrump",2020-09-20 23:57:14,FALSE,"1307692293651140608","1307831212619083777","729676086632656900","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DiogenesQuest",0,FALSE,FALSE,NA,NA
"33","@waltshaub My ""voting plan"" is to donate to #flipthesenateblue
because, as a resident/citizen of Puerto Rico I can'¡­ https://t.co/DcW73FHvMZ",FALSE,0,"waltshaub",2020-09-20 23:57:05,TRUE,"1307823018064908289","1307831175545860097","830908366377611266","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SusanColantuono",0,FALSE,FALSE,NA,NA
"34","The past few days..the election has really been HEAVY on my mind and I¡¯ve been having wonderful discussions with fr¡­ https://t.co/rojqiotaES",FALSE,0,NA,2020-09-20 23:57:02,TRUE,NA,"1307831166045696004",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Seanstweeting",0,FALSE,FALSE,NA,NA
"35","@ashtonpittman Just donated!! Good luck, @MikeEspyMS  #BlueTsunami2020 #BidenHarris2020 #BlueNoMatterWho¡­ https://t.co/jFx9nVioXp",FALSE,7,"ashtonpittman",2020-09-20 23:56:50,TRUE,"1307827384054362114","1307831115537879040","44808326","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pedi_suzanne",1,FALSE,FALSE,NA,NA
