"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Congratulations to the FIRST openly gay members of congress - Mondaire Jones and Ritchie Torres. Chains are being b＃ https://t.co/VKWOtRwfX6",FALSE,4,NA,2020-11-13 23:59:56,TRUE,NA,"1327400837883322368",NA,"<a href=""https://coschedule.com"" rel=""nofollow"">CoSchedule</a>","UsHelpingUs",0,FALSE,FALSE,NA,NA
"2","Georgia's on our minds 〞 help us send some love and support with a minute-long performance, tagging our Instagram!＃ https://t.co/6qfUixtmHZ",FALSE,0,NA,2020-11-13 23:59:40,TRUE,NA,"1327400771328106498",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DanceTheVoteStl",0,FALSE,FALSE,NA,NA
"3","THE NUMBERS DON'T ADD UP AMERICA #Election2020",FALSE,0,NA,2020-11-13 23:59:22,FALSE,NA,"1327400695687999496",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GMG19611",0,FALSE,FALSE,NA,NA
"4","Georgia is finally Blue. [starting hand recount] In the meantime Trump is still in his own world refuse to acknowle＃ https://t.co/41xMuExzkJ",FALSE,1,NA,2020-11-13 23:58:33,TRUE,NA,"1327400488564912131",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shiraghertner",0,FALSE,FALSE,NA,NA
"5","Before #Biden moves into the White House, the place will need to be thoroughly cleaned to get rid of viruses, spyin＃ https://t.co/XTN6fp9JA9",FALSE,2,NA,2020-11-13 23:58:14,TRUE,NA,"1327400409489608704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LegalLining",0,FALSE,FALSE,NA,NA
"6","She＊s worth half a billion dollars, yet still had #Georgia pay for her $25 MILLION dollar jet. On top of being corr＃ https://t.co/1bcD0A5UX4",FALSE,1,NA,2020-11-13 23:57:57,TRUE,NA,"1327400337821605888",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Welnesschick",2,FALSE,FALSE,NA,NA
"7","@mrtimv @LemayTulsi @buzzman888 #Trumpwon has 217(NBC). Won NC with 15, 232. Wins WI after recount, 10, 242.  GA &amp;＃ https://t.co/SpY2u5UsaP",FALSE,1,"mrtimv",2020-11-13 23:57:56,TRUE,"1327399051013263364","1327400336135311360","63899835","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tony_Eriksen",0,FALSE,FALSE,NA,NA
"8","#Election2020 why is it every election Democrats are caught cheating red handed? In George in 2016 Democrats where＃ https://t.co/USr5WyQZ6r",FALSE,0,NA,2020-11-13 23:57:51,TRUE,NA,"1327400315814076416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rturn332000",0,FALSE,FALSE,NA,NA
"9","Ok, enough platitudes, what are you actually going to do? #Election2020 #Biden #harris https://t.co/cA2VAVczpd",FALSE,0,NA,2020-11-13 23:57:28,FALSE,NA,"1327400219961667584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ScientistFor",0,FALSE,FALSE,NA,NA
"10","@Independent Hahaha this is amazing, not just #flatearthers but trying to escape from #Quarantine too...These guys＃ https://t.co/K0057E6pxT",FALSE,2,"Independent",2020-11-13 23:57:24,TRUE,"1327394817131896835","1327400200261029888","16973333","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lee19743",0,FALSE,FALSE,NA,NA
