"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Your voice matters. Make sure you¡¯re registered to vote for #Election2020. Get started here <U+2B07><U+FE0F>
@xo_ashleyyy_xo¡­ https://t.co/eipzZZpVee",FALSE,0,NA,2020-09-22 23:59:53,TRUE,NA,"1308556657857900544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pristina99",0,FALSE,FALSE,NA,NA
"2","Your voice matters. Make sure you¡¯re registered to vote for #Election2020. Get started here <U+2B07><U+FE0F>¡­ https://t.co/e5SeQJfylS",FALSE,0,NA,2020-09-22 23:59:49,TRUE,NA,"1308556642280185856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","goddessSue13",0,FALSE,FALSE,NA,NA
"3","3 Reasons to Vote:
1. Ruth Bader Ginsburg
2. Trump
3. Your local representatives
My reasons?
1. My body, my choice,¡­ https://t.co/G94ChM8JCX",FALSE,3,NA,2020-09-22 23:59:44,TRUE,NA,"1308556619740073984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cvondrashek",1,FALSE,FALSE,NA,NA
"4","@michaeljburry @JoeBiden Every candidate is flawed.  Do I take Biden with Dementia or Trump with narcissistic perso¡­ https://t.co/IPQhaRu0mh",FALSE,2,"michaeljburry",2020-09-22 23:59:43,TRUE,"1308432130934890496","1308556613561745409","412833880","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JackD___",0,FALSE,FALSE,NA,NA
"5","Your voice matters. Make sure you¡¯re registered to vote for #Election2020. Get started here <U+2B07><U+FE0F>¡­ https://t.co/Q4RyWpuDTh",FALSE,0,NA,2020-09-22 23:59:35,TRUE,NA,"1308556583123779585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClareBertrand",0,FALSE,FALSE,NA,NA
"6","Montgomery County Board of Elections has sent out an Official Sample Ballot and Voting information Guide.¡­ https://t.co/GXrpovTtsF",FALSE,0,NA,2020-09-22 23:59:30,TRUE,NA,"1308556562282221568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jonique_L",0,FALSE,FALSE,NA,NA
"7","The #WhiteHouse blames #voters for the messes #Trump made.

#Politics #Election2020 #Republicans @realDonaldTrump¡­ https://t.co/VGY9kUSF3B",FALSE,2,NA,2020-09-22 23:59:28,TRUE,NA,"1308556554262675463",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RonaldTooTall",0,FALSE,FALSE,NA,NA
"8","Your voice matters. Make sure you¡¯re registered to vote for #Election2020. Get started here <U+2B07><U+FE0F>¡­ https://t.co/s6bDOCZVI6",FALSE,0,NA,2020-09-22 23:59:26,TRUE,NA,"1308556543206490112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RisqueChatter",0,FALSE,FALSE,NA,NA
"9","Your voice matters. Make sure you¡¯re registered to vote for @realDonaldTrump and your local representatives this No¡­ https://t.co/yfQ2zC8IrE",FALSE,0,NA,2020-09-22 23:59:23,TRUE,NA,"1308556529336020996",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mackenlyjones",0,FALSE,FALSE,NA,NA
"10","Your voice matters. Make sure you¡¯re registered to vote for #Election2020. Get started here <U+2B07><U+FE0F>¡­ https://t.co/ivWRgplGW8",FALSE,0,NA,2020-09-22 23:59:20,TRUE,NA,"1308556520003637257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HisBich",0,FALSE,FALSE,NA,NA
