"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Ahhh bruh, I gotta retweet that;
Vote with kindness?? Nah, my vote got bad intentions, tRump gotta go!!!¡­ https://t.co/E7eZQAtlJ3",FALSE,0,NA,2020-10-27 23:59:57,TRUE,NA,"1321240249947881472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PAC_Montgomery",0,FALSE,FALSE,NA,NA
"2","@steelerschic_85 This thread gives me hope for the US. I¡¯m really hoping that all of the early voters were all voti¡­ https://t.co/lPRvM4HquV",FALSE,4,"steelerschic_85",2020-10-27 23:59:53,TRUE,"1321227814960615425","1321240233757843456","553972410","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","C_Phillips_Pet",0,FALSE,FALSE,NA,NA
"3","@realDonaldTrump Voting #BidenHarris2020 https://t.co/EqFe7FhpYX",FALSE,0,"realDonaldTrump",2020-10-27 23:59:51,FALSE,"1321233544346095616","1321240222064140290","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zewdilove",0,FALSE,FALSE,NA,NA
"4","I loved watching @RealLyndaCarter back in the day as #WonderWoman  #funtimes  #VoteBlue  #Vote2020 #BidenHarris2020¡­ https://t.co/fWU8Pe4kUo",FALSE,0,NA,2020-10-27 23:59:47,TRUE,NA,"1321240207858016258",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MsSophiaStyles",0,FALSE,FALSE,NA,NA
"5","Powerful message. Powerful song. @IAMJHUD @bep #BidenHarris2020 #BidenHarrisToSaveAmerica #BlackLivesMatter 

https://t.co/N57HLxjN6T",FALSE,1,NA,2020-10-27 23:59:47,FALSE,NA,"1321240207539228674",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NanetteNH",0,FALSE,FALSE,NA,NA
"6","@thehill What a disgrace! @FLOTUS #BidenHarris2020",FALSE,0,"thehill",2020-10-27 23:59:47,FALSE,"1321185465005940736","1321240206348046336","1917731","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LMpsychoanalyst",0,FALSE,FALSE,NA,NA
"7","#BidenHarris2020 I voted today https://t.co/IWrcNltjWn",FALSE,2,NA,2020-10-27 23:59:46,FALSE,NA,"1321240203059589120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lkcakes",0,FALSE,FALSE,NA,NA
"8","Sadness turns to pain.
Pain turns to anger.
Anger turns to action.

Vote. Vote like your life depends on it.¡­ https://t.co/pqYqKOtFcn",FALSE,1,NA,2020-10-27 23:59:45,TRUE,NA,"1321240199398043648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChadWillis",0,FALSE,FALSE,NA,NA
"9","Hey @realDonaldTrump, it¡¯s not just the husbands that want to get back to work. What about the rest of America that¡­ https://t.co/gRt0SZYlLz",FALSE,1,NA,2020-10-27 23:59:44,TRUE,NA,"1321240192964005889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juliemar95",0,FALSE,FALSE,NA,NA
"10","Can't you do anything daddy, as a man, as my father 

What a heart breaking plea and all we can do is vote¡­ https://t.co/MNTXdZI3OX",FALSE,2,NA,2020-10-27 23:59:42,TRUE,NA,"1321240187918274561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nataya",0,FALSE,FALSE,NA,NA
