"","text","date","time","textfre","score","result","name"
"396","msm wasnt that a trainwreck of a debate observer no it was biden pulling the emergency handle warning wha ",2020-09-30,"23:58:13","msm wasnt trainwreck debate observer pulling emergency handle warning wha ",-1,"negative","biden"
"397"," youre looser biden will win no more disasters we had enough from ",2020-09-30,"23:56:41"," youre looser will win disasters enough ",-1,"negative","biden"
"398","the racist antijewish antiisrael extremist lurking in bidens very scrawny shadow ",2020-09-30,"23:48:22"," racist antijewish antiisrael extremist lurking bidens scrawny shadow ",-4,"negative","biden"
"399"," join me in supporting joe biden via ",2020-09-30,"23:47:48"," join supporting via ",2,"postive","biden"
"400","so who are you voting for november rd trump or biden vote and retweet ",2020-09-30,"23:47:01"," voting november rd vote retweet ",0,"neutral","biden"
"401","the people criticizing bidens demeanor list night have never lived with a verbally abusive person but had to ma ",2020-09-30,"23:44:40"," people criticizing bidens demeanor list night never lived verbally abusive person ma ",1,"postive","biden"
"402","market support for joe biden continued long after the debate ended overnight trading at a low of how do you ",2020-09-30,"23:31:34","market support continued long debate ended overnight trading low ",1,"postive","biden"
"403"," trump tough leader biden yrs of failure trump economy rocks biden empty w ",2020-09-30,"23:24:28"," tough leader yrs failure economy rocks empty w ",-1,"negative","biden"
"404"," donald trump is the worst president weve ever had according to joe biden ",2020-09-30,"23:17:00"," worst president weve ever according ",0,"neutral","biden"
"405","biden harris election gear tap to shop the collection ",2020-09-30,"23:15:55"," harris election gear tap shop collection ",1,"postive","biden"
"406","tw bullying abuse how is everyone doing after the bidentrump debate last night a lot of people are ",2020-09-30,"23:14:40","tw bullying abuse everyone bidentrump debate last night lot people ",-1,"negative","biden"
"407","muslims go wild and praise joe biden after he says inshallah during last nights debate video ",2020-09-30,"23:11:49","muslims go wild praise says inshallah last nights debate video ",1,"postive","biden"
"408","biden is a better person than trump and thats not up for debate however he will be a terrible president we ",2020-09-30,"23:08:09"," better person thats debate however will terrible president ",0,"neutral","biden"
"409","bidens texas political director implicated in massive mailin ballot harvesting scheme in harris county american ",2020-09-30,"23:05:44","bidens texas political director implicated massive mailin ballot harvesting scheme harris county american ",0,"neutral","biden"
"410","last nights between joe biden and president trump is receiving a lot of criticism will the negative r ",2020-09-30,"23:05:32","last nights president receiving lot criticism will negative r ",0,"neutral","biden"
"411","democratic presidential nominee former vice president joe biden will travel to grand rapids on friday the campai ",2020-09-30,"23:03:05","democratic presidential nominee former vice president will travel grand rapids friday campai ",1,"postive","biden"
"412","right now our model thinks joe biden is very likely to beats donald trump in the electoral college wow biden h ",2020-09-30,"22:59:34","right now model thinks likely beats electoral college wow h ",4,"postive","biden"
"413","facebook regulatory counsel joins biden transition team as zuckerberg commits to silencing trump victory claims ",2020-09-30,"22:58:37","facebook regulatory counsel joins transition team zuckerberg commits silencing victory claims ",0,"neutral","biden"
"414","biden or trump thats not a choice thats a threat like your wallet or your life this election is a mugging ",2020-09-30,"22:55:21"," thats choice thats threat like wallet life election mugging ",-1,"negative","biden"
"415","this is it im calling it goes to bidenharris ",2020-09-30,"22:54:27"," im calling goes bidenharris ",0,"neutral","biden"
"416","for the sake of democracy cancel the trumpbiden debates ",2020-10-01,"23:54:47"," sake democracy cancel trumpbiden debates ",0,"neutral","biden"
"417"," didnt vote for dt but video shows biden interrupted several times first hack moderator asked same que ",2020-10-01,"23:49:18"," didnt vote dt video shows interrupted several times first hack moderator asked que ",-1,"negative","biden"
"418","it appears the presidential betting odds have slightly improved for joe biden after the debate there have been no ",2020-10-01,"23:39:09"," appears presidential betting odds slightly improved debate ",-1,"negative","biden"
"419","trump wants law and order biden wants a lawless border choose wisely ",2020-10-01,"23:37:37"," wants law order wants lawless border choose wisely ",0,"neutral","biden"
"420"," the annual al smith dinner is taking place virtually right now trump amp biden have made pre ",2020-10-01,"23:25:40"," annual al smith dinner taking place virtually right now amp made pre ",2,"postive","biden"
"421","ok some demsliberals are attacking ex trump voters for switching it up and voting for biden fucking stop wha ",2020-10-01,"23:24:46","ok demsliberals attacking ex voters switching voting fucking stop wha ",-3,"negative","biden"
"422","joe bidens green new deal ",2020-10-01,"23:24:11"," bidens green new deal ",3,"postive","biden"
"423","our registration analysis for shows trump continuing to extend his lead over biden now at updated ever ",2020-10-01,"23:22:14"," registration analysis shows continuing extend lead now updated ever ",3,"postive","biden"
"424","its true our president is a fighter and i dont care if he interrupted biden a thousand times he exposes their c ",2020-10-01,"23:21:50"," true president fighter dont care interrupted thousand times exposes c ",1,"postive","biden"
"425","via msnbc anchor pulls plug on trump camp spox after stoking biden earpiece conspiracy ",2020-10-01,"23:12:32","via msnbc anchor pulls plug camp spox stoking earpiece conspiracy ",0,"neutral","biden"
"426"," will support efforts to pack supreme court biden will not release a list of potential scotus nominees ",2020-10-01,"23:06:04"," will support efforts pack supreme court will release list potential scotus nominees ",1,"postive","biden"
"427","it seems a lot of trump supporters also think hes awful they just hate biden more i wish we could just settle ou ",2020-10-01,"22:55:01"," seems lot supporters also think hes awful just hate wish just settle ou ",1,"postive","biden"
"428","between trumps lies at the debate biden offered empathy and ideas francine prose ",2020-10-01,"22:51:01"," lies debate offered empathy ideas francine prose ",1,"postive","biden"
"429"," biden campaign lodges health and safety objection over vp debate via ",2020-10-02,"23:46:10"," campaign lodges health safety objection vp debate via ",1,"postive","biden"
"430"," thats because bidens are all lies ",2020-10-02,"23:44:29"," thats bidens lies ",-1,"negative","biden"
"431"," steps down and its biden vs pence next month ",2020-10-02,"23:40:32"," steps vs pence next month ",-1,"negative","biden"
"432","trump best case vs biden has changed biden by biden trump trump by biden trump ",2020-10-02,"23:13:36"," best case vs changed ",0,"neutral","biden"
"433","biden vs trump tipping point change biden by in mi biden by in mi more info from ",2020-10-02,"23:13:35"," vs tipping point change mi mi info ",1,"postive","biden"
"434"," the biden campaign has raised a health and safety objection with the commission on presidential debates ",2020-10-02,"23:08:00"," campaign raised health safety objection commission presidential debates ",0,"neutral","biden"
"435"," gt biden camp taking down all negative ads ",2020-10-02,"23:06:22"," gt camp taking negative ads ",-2,"negative","biden"
"436","bidens response to the presidents covid infection has been first class its nice to see a glimmer of civility in ",2020-10-02,"23:03:01","bidens response presidents covid infection first class nice see glimmer civility ",2,"postive","biden"
"437","biden vs trump category change in mi strong biden weak biden more info from ",2020-10-02,"23:02:53"," vs category change mi strong weak info ",1,"postive","biden"
"438","poll added in mi ppp wp to biden trump jorgensen hawkins new mi ",2020-10-02,"23:02:43","poll added mi ppp wp jorgensen hawkins new mi ",1,"postive","biden"
"439","sunday on full measure looks at the debate between president trump and former vicepresident biden an ",2020-10-02,"23:01:40","sunday full measure looks debate president former vicepresident ",3,"postive","biden"
"440","poll added in tx hart research to biden trump new tx average ",2020-10-02,"23:00:06","poll added tx hart research new tx average ",1,"postive","biden"
"441","poll added in oh hart research to biden trump new oh average ",2020-10-02,"22:58:37","poll added oh hart research new oh average ",1,"postive","biden"
"442","poll added in nc hart research to biden trump new nc average ",2020-10-02,"22:56:49","poll added nc hart research new nc average ",1,"postive","biden"
"443","no more debates we must protect kamala harris and joe biden ",2020-10-02,"22:54:10"," debates must protect kamala harris ",1,"postive","biden"
"444","poll added in ia hart research to biden trump new ia average ",2020-10-02,"22:53:19","poll added ia hart research new ia average ",1,"postive","biden"
"445","poll added in ga hart research to biden trump new ga average ",2020-10-02,"22:51:33","poll added ga hart research new ga average ",1,"postive","biden"
"446","looks like biden pulling all his negative ads on trump ",2020-10-02,"22:49:15","looks like pulling negative ads ",0,"neutral","biden"
"447","bidens a real catholic he wont be deliberately cruel ",2020-10-02,"22:48:00","bidens real catholic wont deliberately cruel ",0,"neutral","biden"
"448","bidens a real catholic he wont be deliberately cruel ",2020-10-02,"22:47:52","bidens real catholic wont deliberately cruel ",0,"neutral","biden"
"449","poll added in wi redfield and wilton wp to biden trump jorgensen hawkin ",2020-10-02,"22:46:14","poll added wi redfield wilton wp jorgensen hawkin ",0,"neutral","biden"
"450","poll added in pa redfield and wilton wp to biden trump jorgensen hawkin ",2020-10-02,"22:43:46","poll added pa redfield wilton wp jorgensen hawkin ",0,"neutral","biden"
"451","so can syrians and passport holders of the banned countries enter us again if biden wins ",2020-10-02,"22:42:41"," can syrians passport holders banned countries enter us wins ",0,"neutral","biden"
"452","poll added in nc redfield and wilton wp to biden trump jorgensen hawkin ",2020-10-02,"22:41:41","poll added nc redfield wilton wp jorgensen hawkin ",0,"neutral","biden"
"453","biden is going to save a fortune in political ads ",2020-10-02,"22:38:48"," going save fortune political ads ",2,"postive","biden"
"454","the biden campaign is pulling all negative ads after president trump was diagnosed with covid a campaign aide s ",2020-10-02,"22:35:50"," campaign pulling negative ads president diagnosed covid campaign aide s ",-1,"negative","biden"
"455","biden vs trump tipping point change biden by in mi biden by in mi more info from ",2020-10-02,"22:33:38"," vs tipping point change mi mi info ",1,"postive","biden"
"456","drove from marquette to houghton today i was pleasantly surprised by the number of bidenharris signs along the wa ",2020-10-02,"22:30:47","drove marquette houghton today pleasantly surprised number bidenharris signs along wa ",1,"postive","biden"
"457","biden is removing attack ads are you serious ",2020-10-02,"22:24:25"," removing attack ads serious ",-1,"negative","biden"
"458","biden campaign states it is pulling all negative ads following trump hospitalization ",2020-10-02,"22:22:20"," campaign states pulling negative ads following hospitalization ",-1,"negative","biden"
"459"," a president biden will have to rebuild america from the ground up every second of trumps occupat ",2020-10-02,"22:17:51"," president will rebuild america ground every second occupat ",1,"postive","biden"
"460","poll added in mi redfield and wilton wp to biden trump jorgensen hawkin ",2020-10-02,"22:16:08","poll added mi redfield wilton wp jorgensen hawkin ",0,"neutral","biden"
"461","great zoom social w we talked and attendees predicted a biden win amp a ",2020-10-02,"22:15:43","great zoom social w talked attendees predicted win amp ",2,"postive","biden"
"462","poll added in fl redfield and wilton wp to biden trump jorgensen hawkin ",2020-10-02,"22:13:27","poll added fl redfield wilton wp jorgensen hawkin ",0,"neutral","biden"
"463","something to consider the biden campaign made a conscious decision to run operations with biden working from home ",2020-10-02,"22:11:43","something consider campaign made conscious decision run operations working home ",1,"postive","biden"
"464","poll added in az redfield and wilton wp to biden trump jorgensen hawkin ",2020-10-02,"22:10:31","poll added az redfield wilton wp jorgensen hawkin ",0,"neutral","biden"
"465","so i guess this officially means biden won the debate ",2020-10-02,"22:09:49"," guess officially means won debate ",2,"postive","biden"
"466","if anything you need a new commercial that uses the soundbite from the debate of trump mocking bidens big mask ",2020-10-02,"22:07:30"," anything need new commercial uses soundbite debate mocking bidens big mask ",2,"postive","biden"
"467"," beto orourke says texas is bidens to lose in presidential race reporting by ",2020-10-02,"22:00:00"," beto orourke says texas bidens lose presidential race reporting ",-1,"negative","biden"
"468","joe biden is taking down his negative ads going allpositive per source decision was made before wh put out w ",2020-10-02,"21:58:13"," taking negative ads going allpositive per source decision made wh put w ",-2,"negative","biden"
"469","in a move that shows her true character ilhan omar criticized joe biden for pulling negative campaign ads after pr ",2020-10-03,"23:56:54"," move shows true character ilhan omar criticized pulling negative campaign ads pr ",-1,"negative","biden"
"470","even if biden and kamala win there is not going to be any major changes to law enforcement and they beat up a child ",2020-10-03,"23:39:12","even kamala win going major changes law enforcement beat child ",-1,"negative","biden"
"471","joe biden is the nicest person i think i have ever met in politics senator lindsey graham rsc loves joe biden ",2020-10-03,"23:30:39"," nicest person think ever met politics senator lindsey graham rsc loves ",2,"postive","biden"
"472","poll added in ak surveymonkey to biden trump new ak avera ",2020-10-03,"23:28:28","poll added ak surveymonkey new ak avera ",1,"postive","biden"
"473","poll added in al surveymonkey to biden trump new al avera ",2020-10-03,"23:26:16","poll added al surveymonkey new al avera ",1,"postive","biden"
"474"," or just mrs biden ",2020-10-03,"23:26:05"," just mrs ",0,"neutral","biden"
"475","closest thing i have to a sign note the state in the obamabiden sign ",2020-10-03,"23:24:33","closest thing sign note state obamabiden sign ",0,"neutral","biden"
"476","poll added in ar surveymonkey to biden trump new ar avera ",2020-10-03,"23:23:07","poll added ar surveymonkey new ar avera ",1,"postive","biden"
"477","poll added in az surveymonkey to biden trump new az avera ",2020-10-03,"23:20:26","poll added az surveymonkey new az avera ",1,"postive","biden"
"478","poll added in ca surveymonkey to biden trump new ca avera ",2020-10-03,"23:18:19","poll added ca surveymonkey new ca avera ",1,"postive","biden"
"479"," is worried about losing ground to biden new polls show leading in florida amp pennsylvan ",2020-10-03,"23:17:12"," worried losing ground new polls show leading florida amp pennsylvan ",0,"neutral","biden"
"480","poll added in co surveymonkey to biden trump new co avera ",2020-10-03,"23:15:54","poll added co surveymonkey new co avera ",1,"postive","biden"
"481","poll added in ct surveymonkey to biden trump new ct avera ",2020-10-03,"23:13:41","poll added ct surveymonkey new ct avera ",1,"postive","biden"
"482","poll added in dc surveymonkey to biden trump new dc avera ",2020-10-03,"23:09:28","poll added dc surveymonkey new dc avera ",1,"postive","biden"
"483","poll added in de surveymonkey to biden trump new de avera ",2020-10-03,"23:06:23","poll added de surveymonkey new de avera ",1,"postive","biden"
"484","joe biden in this year alone has gone from ultra magnus to hot rod it remains to be seen if he can become rodimus ",2020-10-03,"23:04:44"," year alone gone ultra magnus hot rod remains seen can become rodimus ",0,"neutral","biden"
"485","biden is screwed ",2020-10-03,"23:04:15"," screwed ",-1,"negative","biden"
"486","poll added in fl surveymonkey to biden trump new fl avera ",2020-10-03,"23:01:28","poll added fl surveymonkey new fl avera ",1,"postive","biden"
"487"," of likely lgbt voters favor biden over trump poll ",2020-10-03,"23:00:00"," likely lgbt voters favor poll ",1,"postive","biden"
"488","poll added in ga surveymonkey to biden trump new ga avera ",2020-10-03,"22:59:30","poll added ga surveymonkey new ga avera ",1,"postive","biden"
"489","here are the major differences between trump and biden on issues via ",2020-10-03,"22:57:02"," major differences issues via ",0,"neutral","biden"
