"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Why are these two boneheads even walking the streets? Their past mischief suggests they should have been charged an¡­ https://t.co/eQqQE6o6IG",FALSE,0,NA,2020-10-01 23:59:58,TRUE,NA,"1311818168143409152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","skipmontanaro",0,FALSE,FALSE,NA,NA
"2","How Trump amassed a red-state army in the nation¡¯s capital ¡ª and could do so again
By Aaron C. Davis
#NationalGuard¡­ https://t.co/UI1MMbpKUj",FALSE,0,NA,2020-10-01 23:59:55,TRUE,NA,"1311818155325562880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1DeepThinker7",0,FALSE,FALSE,NA,NA
"3","HYPOTHETICAL: If an illegitimate president tried to retain power after being voted out of office, would you be will¡­ https://t.co/ijfaCc4rzo",FALSE,1,NA,2020-10-01 23:59:46,TRUE,NA,"1311818119678177280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OpMinuteman",1,FALSE,FALSE,NA,NA
"4","THE DISRESPECT. #AbbottResign #DanCrenshawResign #TedCruzResign y'all are trash!!!! #houston #voter #Election2020¡­ https://t.co/fKrAOcmHGB",FALSE,0,NA,2020-10-01 23:59:46,TRUE,NA,"1311818117144883201",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZOMBiEMaMiii",0,FALSE,FALSE,NA,NA
"5","My God America, what have you let #Trump and the #GOP  do to you? It¡¯s as if the once-great United States of Americ¡­ https://t.co/36cBqPISy2",FALSE,0,NA,2020-10-01 23:59:34,TRUE,NA,"1311818066322366464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HappyCanuckish",0,FALSE,FALSE,NA,NA
"6","Jacob Wohl, and Jack Burkman, each face four felony counts in Detroit, including conspiring to intimidate voters in¡­ https://t.co/DTyHLjOzW3",FALSE,0,NA,2020-10-01 23:59:27,TRUE,NA,"1311818037855612928",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kaosu_",0,FALSE,FALSE,NA,NA
"7","#ElectionGeek #ElectionTwitter Please help us spread the word about the tools and resources we are developing in pa¡­ https://t.co/mZD6H807j1",FALSE,4,NA,2020-10-01 23:59:01,TRUE,NA,"1311817929046913025",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","healthypolls",4,FALSE,FALSE,NA,NA
"8","To the first poll watcher who tries to stare me down #PollWatchers #Election2020 https://t.co/1LERvp3U7l",FALSE,0,NA,2020-10-01 23:58:18,FALSE,NA,"1311817747836203008",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RottingFlesh5",0,FALSE,FALSE,NA,NA
"9","Remy, for the win.

https://t.co/3oLvIiBVJx

#Debate2020 #Trump #Biden #wtf #Election2020",FALSE,0,NA,2020-10-01 23:58:11,FALSE,NA,"1311817719445102599",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DonCKissick",0,FALSE,FALSE,NA,NA
"10","Does North Carolina really agree with the policies the President pushes 99% of the time? #vote #election2020¡­ https://t.co/KlYgke4HVI",FALSE,1,NA,2020-10-01 23:57:53,TRUE,NA,"1311817645566590977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abbysullivannn",0,FALSE,FALSE,NA,NA
