"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Fredericksburg, Texas
 Trump Rally!!!!
10 miles long of bumper to bumper Trump supporters!<U+0001F600>A lot of fun and <U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB>P¡­ https://t.co/YdQqKckP6W",FALSE,0,NA,2020-09-19 23:57:58,TRUE,NA,"1307469011089793024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Alextad80924123",0,FALSE,FALSE,NA,NA
"2","@ZengerleJoshua @SpoonyG5 @BigMouthJoe working for the #TrumpPence2020 LANDSLIDE!",FALSE,2,"ZengerleJoshua",2020-09-19 23:57:34,FALSE,"1307457818597953539","1307468911193989120","1297526300069048320","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BigMouthJoe",0,FALSE,FALSE,NA,NA
"3","@dandac20 @SpoonyG5 @BigMouthJoe working for the #TrumpPence2020 LANDSLIDE!",FALSE,0,"dandac20",2020-09-19 23:57:25,FALSE,"1307313778229424129","1307468874107949056","1257620662388228097","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BigMouthJoe",1,FALSE,FALSE,NA,NA
"4","@BigMouthJoe working for the #TrumpPence2020 LANDSLIDE! https://t.co/BeAjBHwmyi",FALSE,0,"BigMouthJoe",2020-09-19 23:57:18,FALSE,NA,"1307468841606283264","2322798020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BigMouthJoe",1,FALSE,FALSE,NA,NA
"5","Amen! #SCOTUS #TrumpPence2020 https://t.co/nqHbfAvQg4",FALSE,0,NA,2020-09-19 23:56:51,FALSE,NA,"1307468731346374656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DandelionTuscan",0,FALSE,FALSE,NA,NA
"6","@KarluskaP Individuals are great, people just suck. Come on people, find yourselves. #TrumpPence2020 #NoMoreParties2024 #RWBYOU",FALSE,0,"KarluskaP",2020-09-19 23:56:45,FALSE,"1307381926949347328","1307468706902089728","1199522589573554176","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NatMabry",0,FALSE,FALSE,NA,NA
"7","Will that's cool It'll be more time for me to help other @GOP candidates get elected, no sense in posting for¡­ https://t.co/E16ySRTwz8",FALSE,0,NA,2020-09-19 23:56:41,TRUE,NA,"1307468686136160257",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Subliminal73",0,FALSE,FALSE,NA,NA
"8","@KarluskaP California land of the fruits and nuts, and I live there <U+0001F926><U+0001F3FB><U+200D>¡á<U+FE0F>
#TakeBackCalifornia
#MakeCaliforniaGreatAgain 
#TrumpPence2020",FALSE,5,"KarluskaP",2020-09-19 23:56:18,FALSE,"1307457760880144385","1307468590476480517","1199522589573554176","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IORocha1",0,FALSE,FALSE,NA,NA
"9","President Trump on ""Life, Liberty &amp; Levin."" This will be a great show. ~ #DonaldJTrump #MarkLevin #TrumpPence2020 https://t.co/Z6uYya7TLP",FALSE,0,NA,2020-09-19 23:52:50,FALSE,NA,"1307467720967860224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Red_N_Right",1,FALSE,FALSE,NA,NA
"10","@JoeBiden 2X stroke Dementia Biden MUST NOT WIN!!!    #Trump2020  #TrumpPence2020 #Trump2020LandslideVictory",FALSE,0,"JoeBiden",2020-09-19 23:52:47,FALSE,"1307456938716749825","1307467707198119936","939091","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","auntiekar",0,FALSE,FALSE,NA,NA
"11","@HSRetoucher California. Gavin goes or we do!! <U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8> #TrumpPence2020",FALSE,5,"HSRetoucher",2020-09-19 23:49:39,FALSE,"1307448811661398016","1307466917720985602","255850156","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GoPatiGo",0,FALSE,FALSE,NA,NA
"12","@JoeBiden And that will be @realDonaldTrump <U+0001F44D><U+0001F1E6><U+0001F1FA><U+0001F1FA><U+0001F1F8>
#TrumpPence2020",FALSE,0,"JoeBiden",2020-09-19 23:49:12,FALSE,"1307146895802785792","1307466806521556992","939091","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EFAY1EIGHT",0,FALSE,FALSE,NA,NA
"13","Can't wait till @realDonaldTrump nominates someone for #SCOTUS Just to watch #Liberal heads explode...
#MAGA #KAG reelect #TrumpPence2020",FALSE,0,NA,2020-09-19 23:46:38,FALSE,NA,"1307466157201526789",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","starrbell14",0,FALSE,FALSE,NA,NA
"14","@BlueNelsonNYC Amen 

#TrumpPence2020 
#TrumpNowMoreThanEver2020 
#DemocratsAreDestroyingAmerica",FALSE,0,"BlueNelsonNYC",2020-09-19 23:45:24,FALSE,"1307422640198414336","1307465847309512705","907217475867213825","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StandupMAGA",0,FALSE,FALSE,NA,NA
"15","Don Trump Jr &amp; Kid Rock at MAGA Rally Harrison Township, Michigan. Belts... https://t.co/r1V1EONi4P via @YouTube 
#TrumpPence2020 <U+0001F44D><U+2764><U+FE0F><U+0001F1FA><U+0001F1F8>",FALSE,0,NA,2020-09-19 23:44:44,FALSE,NA,"1307465681995210753",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LmTerese",0,FALSE,FALSE,NA,NA
"16","@RepMaxineWaters FILL THE SEAT! <U+0001F1FA><U+0001F1F8> #Trump2020 #FillTheSeat #VoteTrump2020 #TrumpPence2020 #TrumpLandslideVictory2020 #FourMoreYears",FALSE,0,"RepMaxineWaters",2020-09-19 23:43:37,FALSE,"1307110159102214144","1307465399923953665","36686040","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","charlenewellss",0,FALSE,FALSE,NA,NA
"17","@BibleBeltDarlin Wow! <U+0001F338>I've been to one<U+0001F601>It was awesome 
#trumppence2020",FALSE,0,"BibleBeltDarlin",2020-09-19 23:42:20,FALSE,"1307459678956400640","1307465077784817664","968639584480518144","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","e_batuigas",0,FALSE,FALSE,NA,NA
